NAME,RA,DEC,LIT_SPT,SpT. Ref.,Spt Bibcode,Discovery Ref.,Ref Bibcode,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
WISEA J041451.67−585456.7,63.7152900,-58.9157500,esdT6,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Schneider et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...898...77S/abstract,1300.000,5.500,-1.000,Schneider et al. 2020,,,,,,,,,
WISEA J042236.95−044203.5,65.6539733,-4.7009816,sdT8,Meisner et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meisner et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,,,,,,,,,,,,,
WISEA J043535.82+211508.9,68.8966272,21.2552596,esdL1,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Kirkpatrick et al. 2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...783..122K/abstract,,,,,2937.291,2922.991,2966.245,5.259,5.184,5.283,-1.034,-1.056,-0.960
2MASS J04470652-1946392,71.7770010,-19.7775004,sdM7.5,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,3000.526,3000.141,3001.419,5.286,5.281,5.289,-0.948,-0.959,-0.934
LEHPM 2-59,73.0414713,-22.7525958,esdM8.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,Burgasser et al. 2006,https://ui.adsabs.harvard.edu/abs/2006ApJ...645.1485B/abstract,,,,,,,,,,,,,
2MASS J04524567-3608412,73.1903617,-36.1447928,esdL0,Zhang et al. 2019b,https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.1423Z/abstract,Zhang et al. 2019b,https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.1423Z/abstract,2600.000,5.500,-1.400,Zhang et al. 2019,3147.485,3140.741,3153.223,5.021,5.006,5.036,-1.086,-1.094,-1.073
CWISE J052306.42-015355.4,80.7767549,-1.8987341,esdT0,Brooks et al. 2022,https://ui.adsabs.harvard.edu/abs/2022AJ....163...47B/abstract,Brooks et al. 2022,https://ui.adsabs.harvard.edu/abs/2022AJ....163...47B/abstract,,,,,,,,,,,,,
2MASS J05325346+8246465,83.2268105,82.7792114,esdL8,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Burgasser et al. 2003,https://ui.adsabs.harvard.edu/abs/2003ApJ...592.1186B/abstract,,,,,3005.898,3001.197,3023.392,5.187,5.149,5.250,-0.900,-0.966,-0.832
2MASS J05551490-5402520,88.8121164,-54.0477946,sdM7,Ravinet et al. 2024,https://ui.adsabs.harvard.edu/abs/2024A%26A...685A...6R/abstract,Ravinet et al. 2024,https://ui.adsabs.harvard.edu/abs/2024A%26A...685A...6R/abstract,,,,,,,,,,,,,
APMPM J0559-2903,89.7455128,-29.0574191,esdM7.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,Schweitzer et al. 1999,https://ui.adsabs.harvard.edu/abs/1999A%26A...350L..62S/abstract,3200.000,5.400,-1.700,Rajpurohit et al. 2014,,,,,,,,,
2MASS J06164006−6407194,94.1669200,-64.1220800,esdT0,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
